70.0 13.61 99.84
69.9 11.70 99.82
69.8 9.473 99.83
69.7 10.82 99.81
69.6 11.33 99.82
69.5 13.47 99.82
69.4 13.12 99.80
69.3 13.86 99.82
69.2 10.51 99.80
69.1 11.07 99.82
69.0 12.86 99.79
68.9 12.33 99.81
68.8 12.32 99.85
68.7 10.97 99.83
68.6 11.45 99.83
68.5 9.438 99.83
68.4 11.67 99.84
68.3 11.53 99.79
68.2 10.89 99.82
68.1 13.79 99.83
68.0 11.48 99.77
67.9 13.11 99.81
67.8 12.82 99.81
67.7 11.96 99.79
67.6 13.20 99.81
67.5 10.88 99.79
67.4 11.16 99.84
67.3 13.18 99.78
67.2 13.86 99.78
67.1 11.39 99.81
67.0 14.03 99.82
66.9 10.70 99.80
66.8 11.02 99.81
66.7 10.97 99.81
66.6 10.50 99.82
66.5 10.99 99.82
66.4 11.40 99.83
66.3 10.70 99.79
66.2 10.68 99.83
66.1 12.54 99.81
66.0 12.70 99.83
65.9 8.847 99.84
65.8 8.721 99.79
65.7 10.27 99.80
65.6 11.32 99.78
65.5 11.71 99.82
65.4 10.63 99.82
65.3 11.12 99.78
65.2 12.91 99.79
65.1 9.870 99.81
65.0 13.57 99.81
64.9 11.96 99.78
64.8 11.59 99.82
64.7 12.45 99.81
64.6 11.84 99.79
64.5 11.46 99.77
64.4 11.97 99.79
64.3 13.01 99.82
64.2 10.29 99.82
64.1 11.24 99.80
64.0 13.01 99.77
63.9 12.46 99.79
63.8 8.978 99.80
63.7 12.42 99.80
63.6 11.05 99.77
63.5 11.66 99.80
63.4 9.971 99.84
63.3 11.68 99.80
63.2 10.39 99.78
63.1 11.24 99.80
63.0 10.89 99.78
62.9 13.68 99.80
62.8 10.09 99.81
62.7 13.32 99.82
62.6 13.87 99.81
62.5 9.114 99.78
62.4 10.55 99.83
62.3 12.54 99.81
62.2 10.77 99.78
62.1 11.84 99.79
62.0 13.58 99.77
61.9 11.93 99.81
61.8 14.29 99.78
61.7 9.448 99.79
61.6 11.36 99.77
61.5 12.51 99.78
61.4 12.94 99.80
61.3 13.58 99.80
61.2 12.53 99.83
61.1 11.87 99.78
61.0 9.544 99.84
60.9 13.40 99.77
60.8 12.13 99.81
60.7 13.90 99.79
60.6 10.84 99.80
60.5 13.06 99.78
60.4 11.64 99.82
60.3 13.57 99.79
60.2 12.14 99.77
60.1 13.24 99.80
60.0 13.25 99.79
59.9 12.75 99.79
59.8 11.98 99.73
59.7 10.33 99.78
59.6 11.51 99.80
59.5 9.098 99.78
59.4 10.77 99.79
59.3 10.04 99.81
59.2 11.04 99.79
59.1 11.88 99.78
59.0 10.89 99.76
58.9 11.83 99.77
58.8 12.22 99.78
58.7 8.737 99.77
58.6 11.00 99.77
58.5 12.96 99.81
58.4 13.78 99.75
58.3 11.56 99.79
58.2 11.92 99.78
58.1 9.289 99.80
58.0 12.83 99.77
57.9 11.53 99.76
57.8 12.87 99.74
57.7 11.98 99.76
57.6 10.59 99.81
57.5 12.60 99.76
57.4 9.532 99.77
57.3 12.51 99.73
57.2 12.45 99.79
57.1 9.861 99.78
57.0 10.91 99.79
56.9 11.53 99.77
56.8 10.11 99.80
56.7 11.81 99.78
56.6 11.36 99.78
56.5 11.21 99.78
56.4 10.70 99.78
56.3 8.278 99.77
56.2 10.70 99.81
56.1 13.26 99.76
56.0 13.67 99.79
55.9 12.83 99.78
55.8 13.63 99.75
55.7 13.01 99.82
55.6 13.12 99.76
55.5 12.69 99.78
55.4 11.06 99.77
55.3 10.80 99.76
55.2 12.18 99.78
55.1 11.92 99.74
55.0 8.794 99.78
54.9 13.27 99.77
54.8 10.54 99.76
54.7 9.364 99.74
54.6 12.89 99.81
54.5 9.363 99.77
54.4 12.26 99.74
54.3 10.84 99.76
54.2 12.22 99.77
54.1 9.766 99.75
54.0 10.56 99.74
53.9 12.97 99.75
53.8 10.48 99.79
53.7 12.32 99.74
53.6 10.93 99.78
53.5 11.10 99.76
53.4 10.91 99.78
53.3 13.93 99.76
53.2 9.063 99.73
53.1 11.94 99.76
53.0 12.95 99.76
52.9 10.79 99.74
52.8 9.515 99.70
52.7 12.69 99.75
52.6 12.23 99.74
52.5 12.04 99.76
52.4 12.28 99.73
52.3 9.199 99.76
52.2 10.58 99.78
52.1 12.91 99.75
52.0 11.49 99.75
51.9 11.22 99.77
51.8 11.58 99.75
51.7 12.00 99.75
51.6 11.38 99.76
51.5 12.09 99.76
51.4 10.26 99.76
51.3 12.98 99.75
51.2 13.68 99.73
51.1 9.729 99.76
51.0 11.38 99.75
50.9 12.60 99.72
50.8 12.63 99.75
50.7 10.54 99.74
50.6 10.68 99.77
50.5 11.87 99.77
50.4 11.81 99.71
50.3 11.02 99.76
50.2 10.42 99.73
50.1 11.33 99.73
50.0 10.75 99.74
49.9 10.80 99.71
49.8 11.70 99.76
49.7 13.85 99.76
49.6 10.26 99.76
49.5 12.33 99.73
49.4 10.56 99.77
49.3 12.97 99.71
49.2 12.55 99.73
49.1 12.46 99.74
49.0 9.237 99.77
48.9 12.31 99.76
48.8 10.33 99.72
48.7 9.432 99.74
48.6 10.42 99.75
48.5 10.55 99.76
48.4 13.44 99.79
48.3 11.00 99.74
48.2 12.15 99.73
48.1 7.635 99.74
48.0 12.57 99.75
47.9 10.31 99.71
47.8 10.65 99.75
47.7 11.86 99.70
47.6 10.82 99.74
47.5 8.285 99.78
47.4 11.24 99.74
47.3 12.30 99.75
47.2 10.93 99.73
47.1 10.89 99.74
47.0 11.96 99.75
46.9 11.85 99.73
46.8 12.10 99.68
46.7 10.87 99.75
46.6 11.79 99.75
46.5 9.664 99.74
46.4 11.86 99.68
46.3 12.01 99.72
46.2 10.66 99.75
46.1 10.92 99.75
46.0 12.38 99.71
45.9 12.06 99.69
45.8 10.87 99.75
45.7 14.01 99.74
45.6 9.266 99.72
45.5 10.67 99.72
45.4 13.31 99.72
45.3 11.58 99.70
45.2 14.05 99.72
45.1 12.63 99.73
45.0 11.45 99.70
44.9 11.41 99.72
44.8 11.51 99.73
44.7 11.76 99.69
44.6 10.42 99.72
44.5 11.91 99.74
44.4 11.15 99.68
44.3 11.79 99.73
44.2 9.235 99.72
44.1 10.90 99.66
44.0 15.34 99.73
43.9 12.94 99.71
43.8 11.26 99.73
43.7 11.80 99.68
43.6 11.06 99.72
43.5 9.644 99.71
43.4 10.13 99.68
43.3 10.53 99.69
43.2 13.13 99.72
43.1 10.97 99.68
43.0 10.82 99.63
42.9 11.40 99.70
42.8 10.33 99.69
42.7 12.26 99.74
42.6 10.99 99.68
42.5 13.12 99.65
42.4 12.68 99.69
42.3 9.806 99.74
42.2 11.28 99.69
42.1 13.03 99.70
42.0 10.03 99.70
41.9 11.09 99.63
41.8 11.26 99.69
41.7 11.10 99.73
41.6 10.55 99.70
41.5 10.95 99.70
41.4 13.09 99.70
41.3 11.27 99.69
41.2 13.46 99.66
41.1 11.85 99.71
41.0 10.70 99.64
40.9 10.29 99.69
40.8 8.616 99.72
40.7 11.69 99.73
40.6 8.974 99.65
40.5 10.69 99.69
40.4 12.85 99.65
40.3 14.01 99.70
40.2 9.826 99.68
40.1 11.19 99.67
40.0 9.674 99.70
39.9 9.876 99.70
39.8 11.00 99.67
39.7 13.27 99.66
39.6 10.84 99.67
39.5 12.15 99.68
39.4 13.07 99.65
39.3 13.26 99.70
39.2 11.39 99.65
39.1 9.987 99.66
39.0 12.18 99.63
38.9 11.43 99.65
38.8 12.66 99.63
38.7 11.30 99.70
38.6 13.70 99.64
38.5 10.83 99.65
38.4 11.82 99.69
38.3 13.50 99.69
38.2 12.05 99.64
38.1 9.989 99.63
38.0 10.93 99.69
37.9 11.83 99.62
37.8 12.24 99.63
37.7 12.47 99.63
37.6 10.55 99.64
37.5 11.86 99.65
37.4 13.14 99.63
37.3 11.03 99.68
37.2 12.39 99.65
37.1 12.57 99.65
37.0 9.332 99.66
36.9 10.29 99.65
36.8 12.35 99.64
36.7 11.08 99.64
36.6 10.06 99.70
36.5 10.71 99.69
36.4 9.784 99.65
36.3 13.05 99.66
36.2 11.55 99.62
36.1 11.74 99.62
36.0 13.62 99.64
35.9 10.52 99.60
35.8 10.38 99.70
35.7 11.64 99.65
35.6 13.28 99.68
35.5 11.06 99.63
35.4 9.881 99.57
35.3 12.52 99.63
35.2 14.47 99.60
35.1 10.22 99.64
35.0 11.30 99.64
34.9 11.65 99.68
34.8 11.69 99.67
34.7 11.31 99.61
34.6 11.64 99.61
34.5 9.062 99.64
34.4 11.47 99.57
34.3 11.53 99.62
34.2 11.40 99.66
34.1 10.57 99.61
34.0 11.33 99.60
33.9 12.18 99.64
33.8 12.61 99.63
33.7 12.07 99.62
33.6 11.90 99.60
33.5 13.09 99.62
33.4 11.22 99.60
33.3 11.06 99.64
33.2 10.77 99.58
33.1 12.35 99.64
33.0 7.723 99.62
32.9 9.989 99.59
32.8 11.98 99.59
32.7 14.35 99.63
32.6 11.24 99.60
32.5 12.73 99.56
32.4 10.65 99.59
32.3 11.71 99.62
32.2 12.23 99.59
32.1 12.31 99.60
32.0 12.10 99.62
31.9 11.05 99.56
31.8 12.65 99.59
31.7 10.65 99.61
31.6 10.30 99.60
31.5 13.46 99.63
31.4 7.474 99.63
31.3 11.87 99.63
31.2 9.643 99.58
31.1 12.67 99.55
31.0 11.53 99.55
30.9 11.90 99.59
30.8 11.26 99.60
30.7 10.10 99.57
30.6 12.24 99.60
30.5 10.48 99.57
30.4 10.43 99.60
30.3 12.43 99.61
30.2 10.44 99.56
30.1 12.53 99.52
30.0 9.909 99.61
29.9 13.34 99.62
29.8 11.09 99.55
29.7 10.23 99.61
29.6 11.42 99.57
29.5 9.508 99.56
29.4 12.09 99.52
29.3 12.02 99.57
29.2 12.22 99.55
29.1 12.55 99.54
29.0 11.90 99.53
28.9 12.11 99.57
28.8 8.690 99.52
28.7 11.56 99.54
28.6 10.01 99.50
28.5 12.04 99.53
28.4 10.93 99.52
28.3 12.56 99.58
28.2 12.64 99.54
28.1 11.85 99.54
28.0 10.45 99.52
27.9 12.29 99.56
27.8 12.34 99.58
27.7 10.93 99.56
27.6 11.84 99.54
27.5 10.77 99.52
27.4 12.87 99.54
27.3 11.05 99.54
27.2 9.368 99.50
27.1 13.73 99.54
27.0 11.09 99.53
26.9 12.64 99.60
26.8 9.349 99.54
26.7 9.047 99.51
26.6 8.132 99.55
26.5 11.37 99.49
26.4 9.752 99.51
26.3 13.65 99.47
26.2 11.58 99.51
26.1 10.07 99.53
26.0 10.14 99.49
25.9 9.376 99.47
25.8 13.12 99.48
25.7 12.40 99.52
25.6 13.85 99.51
25.5 13.55 99.49
25.4 10.47 99.57
25.3 12.25 99.46
25.2 13.82 99.51
25.1 10.20 99.50
25.0 12.27 99.52
24.9 13.13 99.48
24.8 11.57 99.47
24.7 11.70 99.49
24.6 10.47 99.52
24.5 12.55 99.45
24.4 9.083 99.50
24.3 14.21 99.49
24.2 10.04 99.48
24.1 11.60 99.42
24.0 10.05 99.43
23.9 10.03 99.54
23.8 11.39 99.48
23.7 10.42 99.51
23.6 12.32 99.49
23.5 10.60 99.41
23.4 13.07 99.46
23.3 11.52 99.44
23.2 10.14 99.42
23.1 11.93 99.42
23.0 10.28 99.46
22.9 11.26 99.43
22.8 13.71 99.44
22.7 14.41 99.45
22.6 10.56 99.43
22.5 11.67 99.46
22.4 9.751 99.41
22.3 10.18 99.42
22.2 12.74 99.44
22.1 11.34 99.44
22.0 11.06 99.47
21.9 10.62 99.44
21.8 13.59 99.38
21.7 9.177 99.42
21.6 12.39 99.42
21.5 14.62 99.39
21.4 11.50 99.41
21.3 11.96 99.36
21.2 12.96 99.41
21.1 11.36 99.44
21.0 9.666 99.40
20.9 11.03 99.38
20.8 10.48 99.34
20.7 13.72 99.37
20.6 11.01 99.39
20.5 13.37 99.48
20.4 12.17 99.40
20.3 10.04 99.31
20.2 11.06 99.38
20.1 8.603 99.36
20.0 12.11 99.36
19.9 12.60 99.31
19.8 12.08 99.35
19.7 14.57 99.34
19.6 9.975 99.35
19.5 11.15 99.40
19.4 10.37 99.34
19.3 12.22 99.27
19.2 10.30 99.33
19.1 10.99 99.34
19.0 11.01 99.29
18.9 10.07 99.26
18.8 10.65 99.33
18.7 11.66 99.38
18.6 11.34 99.26
18.5 9.839 99.26
18.4 12.79 99.31
18.3 12.84 99.35
18.2 12.45 99.30
18.1 10.81 99.22
18.0 10.05 99.27
17.9 12.60 99.31
17.8 7.456 99.24
17.7 10.60 99.26
17.6 10.16 99.30
17.5 11.50 99.28
17.4 11.92 99.25
17.3 15.35 99.30
17.2 11.76 99.20
17.1 11.69 99.24
17.0 12.03 99.22
16.9 10.08 99.18
16.8 9.474 99.27
16.7 12.22 99.19
16.6 11.39 99.18
16.5 12.71 99.25
16.4 11.72 99.21
16.3 11.74 99.18
16.2 8.525 99.22
16.1 10.35 99.22
16.0 13.09 99.24
15.9 9.709 99.19
15.8 10.68 99.20
15.7 12.68 99.22
15.6 11.50 99.18
15.5 11.40 99.14
15.4 10.09 99.16
15.3 12.38 99.22
15.2 11.55 99.13
15.1 12.75 99.10
15.0 12.96 99.14
14.9 9.854 99.15
14.8 14.09 99.23
14.7 12.30 99.12
14.6 9.688 99.16
14.5 11.93 99.07
14.4 11.12 99.09
14.3 10.42 99.02
14.2 12.79 99.05
14.1 9.978 99.11
14.0 11.85 99.07
13.9 11.92 99.15
13.8 13.43 99.10
13.7 12.36 99.09
13.6 12.06 99.06
13.5 10.42 99.06
13.4 9.415 99.07
13.3 9.908 99.11
13.2 11.50 99.00
13.1 12.91 98.89
13.0 10.31 99.02
12.9 11.39 98.98
12.8 13.22 99.02
12.7 11.87 99.04
12.6 11.63 98.99
12.5 11.46 98.96
12.4 11.08 98.99
12.3 12.32 98.94
12.2 13.62 98.99
12.1 13.95 98.98
12.0 11.04 98.88
11.9 10.23 98.94
11.8 10.43 98.90
11.7 10.18 98.97
11.6 11.99 98.92
11.5 12.13 98.84
11.4 10.84 98.88
11.3 10.67 98.92
11.2 10.25 98.88
11.1 11.38 98.85
11.0 7.932 98.76
10.9 12.00 98.84
10.8 12.87 98.81
10.7 9.574 98.84
10.6 10.88 98.94
10.5 13.78 98.82
10.4 12.32 98.76
10.3 8.192 98.72
10.2 11.66 98.84
10.1 7.917 98.70
10.0 13.41 98.74
9.90 11.41 98.65
9.80 12.07 98.74
9.70 9.100 98.75
9.60 8.870 98.77
9.50 8.437 98.69
9.40 10.19 98.56
9.30 10.14 98.63
9.20 10.48 98.61
9.10 12.87 98.55
9.00 12.29 98.52
8.90 12.57 98.64
8.80 12.77 98.50
8.70 13.53 98.54
8.60 12.74 98.41
8.50 10.49 98.51
8.40 9.275 98.49
8.30 12.13 98.43
8.20 12.64 98.49
8.10 11.77 98.48
8.00 11.75 98.28
7.90 13.76 98.33
7.80 12.39 98.35
7.70 13.95 98.27
7.60 11.29 98.23
7.50 12.23 98.43
7.40 9.422 98.30
7.30 10.67 98.26
7.20 9.516 98.28
7.10 10.06 98.35
7.00 9.216 98.19
6.90 10.88 98.16
6.80 11.03 98.10
6.70 12.43 98.18
6.60 8.914 98.04
6.50 11.56 97.98
6.40 13.48 97.99
6.30 10.54 97.94
6.20 10.40 97.92
6.10 11.61 97.90
6.00 13.39 97.97
5.90 11.70 97.88
5.80 11.72 97.87
5.70 9.071 97.72
5.60 12.38 97.69
5.50 11.25 97.62
5.40 13.45 97.75
5.30 12.82 97.61
5.20 11.61 97.48
5.10 13.36 97.48
5.00 11.17 97.40
4.90 10.20 97.32
4.80 11.55 97.26
4.70 13.50 97.30
4.60 9.868 97.28
4.50 10.82 97.13
4.40 10.03 97.18
4.30 10.43 97.16
4.20 11.00 96.85
4.10 12.31 96.85
4.00 9.473 96.79
3.90 12.39 96.57
3.80 9.338 96.54
3.70 10.18 96.51
3.60 12.00 96.52
3.50 13.75 96.35
3.40 9.786 96.34
3.30 11.35 96.06
3.20 10.18 95.94
3.10 9.348 95.89
3.00 11.03 95.58
2.90 13.19 95.54
2.80 9.766 95.39
2.70 13.42 95.39
2.60 11.13 95.13
2.50 9.804 94.84
2.40 11.44 94.73
2.30 8.853 94.44
2.20 10.22 94.58
2.10 10.80 93.88
2.00 10.32 93.68
1.90 12.33 93.21
1.80 12.87 92.88
1.70 9.322 92.57
1.60 11.70 92.24
1.50 10.39 91.66
1.40 10.99 90.93
1.30 9.444 90.07
1.20 10.94 89.61
1.10 9.765 88.92
1.00 9.218 87.32
0.900 10.68 86.20
0.800 10.17 84.90
0.700 7.906 82.80
0.600 6.497 80.27
0.500 8.472 76.93
