sigma		mu		energy
0.556		1.18		0.129204
0.556		1.2		0.253422
0.556		1.22		0.34374
0.556		1.24		0.379942
0.556		1.26		0.482724
0.556		1.28		0.581294
0.556		1.3		0.63019
0.556		1.32		0.781589
0.556		1.34		0.986266
0.556		1.36		1.02854
0.556		1.38		1.12739
0.556		1.4		1.22819
0.556		1.42		1.37865
0.556		1.44		1.50405
0.556		1.46		1.71684
0.556		1.48		1.8641
0.556		1.5		1.87176
0.556		1.52		2.21208
0.556		1.54		2.44828
0.556		1.56		2.60944
0.556		1.58		2.7197
0.556		1.6		2.89218
0.556		1.62		3.49061
0.556		1.64		3.54622
0.556		1.66		3.7189
0.556		1.68		4.0729
0.556		1.7		4.1407
0.556		1.72		4.78251
0.556		1.74		4.66484
0.556		1.76		5.1836
0.556		1.78		5.42048
0.556		1.8		5.97513
0.556		1.82		6.18576
0.556		1.84		6.41574
0.556		1.86		7.41907
0.556		1.88		7.62926
0.556		1.9		7.50477
0.556		1.92		8.01561
0.556		1.94		9.02277
0.556		1.96		8.80296
0.556		1.98		9.47618
0.575		0		0.439588
0.575		0.02		0.471697
0.575		0.04		0.400327
0.575		0.06		0.429881
0.575		0.08		0.391881
0.575		0.1		0.352905
0.575		0.12		0.361504
0.575		0.14		0.418492
0.575		0.16		0.297216
0.575		0.18		0.420371
0.575		0.2		0.315689
0.575		0.22		0.296515
0.575		0.24		0.27237
0.575		0.26		0.259181
0.575		0.28		0.226869
0.575		0.3		0.154764
0.575		0.32		0.180585
0.575		0.34		0.0907714
0.575		0.36		0.0910442
0.575		0.38		0.0550846
0.575		0.4		0.0391573
0.575		0.42		-0.0148032
0.575		0.44		-0.0777287
0.575		0.46		-0.10648
0.575		0.48		-0.110861
0.575		0.5		-0.162691
0.575		0.52		-0.17188
0.575		0.54		-0.2123
0.575		0.56		-0.237001
0.575		0.58		-0.269537
0.575		0.6		-0.306448
0.575		0.62		-0.311887
0.575		0.64		-0.328309
0.575		0.66		-0.374467
0.575		0.68		-0.396157
0.575		0.7		-0.402356
0.575		0.72		-0.41634
0.575		0.74		-0.425112
0.575		0.76		-0.431931
0.575		0.78		-0.428512
0.575		0.8		-0.447162
0.575		0.82		-0.44012
0.575		0.84		-0.404965
0.575		0.86		-0.430783
0.575		0.88		-0.409983
0.575		0.9		-0.382
0.575		0.92		-0.379917
0.575		0.94		-0.358134
0.575		0.96		-0.32797
0.575		0.98		-0.323531
0.575		1		-0.245399
0.575		1.02		-0.25017
0.575		1.04		-0.200125
0.575		1.06		-0.170376
0.575		1.08		-0.111064
0.575		1.1		-0.0892727
0.575		1.12		-0.0240471
0.575		1.14		0.0639497
0.575		1.16		0.104198
0.575		1.18		0.185416
0.575		1.2		0.25021
0.575		1.22		0.345477
0.575		1.24		0.363199
0.575		1.26		0.404881
0.575		1.28		0.602794
0.575		1.3		0.658336
0.575		1.32		0.748209
0.575		1.34		0.913757
0.575		1.36		0.975591
0.575		1.38		1.22763
0.575		1.4		1.34374
0.575		1.42		1.35423
0.575		1.44		1.46825
0.575		1.46		1.69384
0.575		1.48		1.96905
0.575		1.5		2.10712
0.575		1.52		2.12015
0.575		1.54		2.33826
0.575		1.56		2.71028
0.575		1.58		2.99098
0.575		1.6		3.13814
0.575		1.62		3.38303
0.575		1.64		3.7681
0.575		1.66		4.02608
0.575		1.68		4.32567
0.575		1.7		4.5037
0.575		1.72		4.36753
0.575		1.74		4.90592
0.575		1.76		5.37392
0.575		1.78		5.79194
0.575		1.8		5.88272
0.575		1.82		6.01445
0.575		1.84		6.7957
0.575		1.86		6.84837
0.575		1.88		7.69876
0.575		1.9		8.42052
0.575		1.92		8.69688
0.575		1.94		8.79215
0.575		1.96		8.95712
0.575		1.98		10.2173
0.594		0		0.390279
0.594		0.02		0.358074
0.594		0.04		0.396661
0.594		0.06		0.336125
0.594		0.08		0.313642
0.594		0.1		0.368299
0.594		0.12		0.341566
0.594		0.14		0.298619
0.594		0.16		0.267148
0.594		0.18		0.282918
0.594		0.2		0.240166
0.594		0.22		0.284248
0.594		0.24		0.236622
0.594		0.26		0.165647
0.594		0.28		0.149533
0.594		0.3		0.160212
0.594		0.32		0.12065
0.594		0.34		0.0718253
0.594		0.36		0.080053
0.594		0.38		-0.00265332
0.594		0.4		-0.0440653
0.594		0.42		-0.0531922
0.594		0.44		-0.073657
0.594		0.46		-0.151276
0.594		0.48		-0.173478
0.594		0.5		-0.17207
0.594		0.52		-0.221578
0.594		0.54		-0.233004
0.594		0.56		-0.252289
0.594		0.58		-0.2895
0.594		0.6		-0.303411
0.594		0.62		-0.326288
0.594		0.64		-0.356255
0.594		0.66		-0.372793
0.594		0.68		-0.381469
0.594		0.7		-0.405016
0.594		0.72		-0.41737
0.594		0.74		-0.429955
0.594		0.76		-0.436096
0.594		0.78		-0.440399
0.594		0.8		-0.437421
0.594		0.82		-0.44655
0.594		0.84		-0.430896
0.594		0.86		-0.429554
0.594		0.88		-0.409234
0.594		0.9		-0.395411
0.594		0.92		-0.39822
0.594		0.94		-0.352632
0.594		0.96		-0.343114
0.594		0.98		-0.319783
0.594		1		-0.26407
0.594		1.02		-0.203328
0.594		1.04		-0.208422
0.594		1.06		-0.156049
0.594		1.08		-0.0834543
0.594		1.1		-0.0375126
0.594		1.12		0.00408317
0.594		1.14		0.0839536
0.594		1.16		0.0939354
0.594		1.18		0.169146
0.594		1.2		0.269039
0.594		1.22		0.410496
0.594		1.24		0.31949
0.594		1.26		0.525654
0.594		1.28		0.702014
0.594		1.3		0.70093
0.594		1.32		0.839486
0.594		1.34		0.886518
0.594		1.36		1.06373
0.594		1.38		1.24012
0.594		1.4		1.25769
0.594		1.42		1.481
0.594		1.44		1.6786
0.594		1.46		1.91036
0.594		1.48		1.97448
0.594		1.5		2.19722
0.594		1.52		2.44829
0.594		1.54		2.3949
0.594		1.56		2.78937
0.594		1.58		3.08753
0.594		1.6		3.09862
0.594		1.62		3.46883
0.594		1.64		3.68361
0.594		1.66		3.9719
0.594		1.68		4.10276
0.594		1.7		4.17991
0.594		1.72		4.9313
0.594		1.74		5.2596
0.594		1.76		5.42127
0.594		1.78		6.0153
0.594		1.8		6.00056
0.594		1.82		6.71624
0.594		1.84		6.80782
0.594		1.86		7.39131
0.594		1.88		8.11168
0.594		1.9		8.67998
0.594		1.92		8.5283
0.594		1.94		9.30672
0.594		1.96		9.35854
0.594		1.98		9.94295
0.613		0		0.268983
0.613		0.02		0.319984
0.613		0.04		0.306595
0.613		0.06		0.263898
0.613		0.08		0.28304
0.613		0.1		0.27906
0.613		0.12		0.244473
0.613		0.14		0.23995
0.613		0.16		0.209741
0.613		0.18		0.195566
0.613		0.2		0.197267
0.613		0.22		0.219379
0.613		0.24		0.185028
0.613		0.26		0.184797
0.613		0.28		0.139574
0.613		0.3		0.0787253
0.613		0.32		0.00552296
0.613		0.34		0.0708281
0.613		0.36		0.0302271
0.613		0.38		-0.0278025
0.613		0.4		-0.0147081
0.613		0.42		-0.113825
0.613		0.44		-0.068236
0.613		0.46		-0.123664
0.613		0.48		-0.141393
0.613		0.5		-0.170301
0.613		0.52		-0.205094
0.613		0.54		-0.256549
0.613		0.56		-0.285523
0.613		0.58		-0.278874
0.613		0.6		-0.315254
0.613		0.62		-0.327287
0.613		0.64		-0.349583
0.613		0.66		-0.396342
0.613		0.68		-0.391517
0.613		0.7		-0.399187
0.613		0.72		-0.42422
0.613		0.74		-0.432519
0.613		0.76		-0.441605
0.613		0.78		-0.450421
0.613		0.8		-0.452495
0.613		0.82		-0.441771
0.613		0.84		-0.445641
0.613		0.86		-0.413472
0.613		0.88		-0.40884
0.613		0.9		-0.391007
0.613		0.92		-0.401274
0.613		0.94		-0.346031
0.613		0.96		-0.348811
0.613		0.98		-0.328354
0.613		1		-0.306628
0.613		1.02		-0.261359
0.613		1.04		-0.18407
0.613		1.06		-0.143326
0.613		1.08		-0.123396
0.613		1.1		-0.0252821
0.613		1.12		0.0088621
0.613		1.14		0.0837879
0.613		1.16		0.106146
0.613		1.18		0.241114
0.613		1.2		0.269146
0.613		1.22		0.396819
0.613		1.24		0.447877
0.613		1.26		0.537268
0.613		1.28		0.623195
0.613		1.3		0.771636
0.613		1.32		0.952997
0.613		1.34		0.957604
0.613		1.36		1.08446
0.613		1.38		1.3004
0.613		1.4		1.4211
0.613		1.42		1.60288
0.613		1.44		1.5559
0.613		1.46		1.98433
0.613		1.48		2.09463
0.613		1.5		2.29892
0.613		1.52		2.35473
0.613		1.54		2.60834
0.613		1.56		2.78219
0.613		1.58		3.1002
0.613		1.6		3.23692
0.613		1.62		3.51633
0.613		1.64		3.7178
0.613		1.66		4.30028
0.613		1.68		4.61915
0.613		1.7		4.6026
0.613		1.72		5.04785
0.613		1.74		5.5973
0.613		1.76		5.60159
0.613		1.78		6.19694
0.613		1.8		6.3404
0.613		1.82		6.89504
0.613		1.84		6.9922
0.613		1.86		7.02485
0.613		1.88		7.93056
0.613		1.9		8.29189
0.613		1.92		8.7054
0.613		1.94		9.30787
0.613		1.96		10.211
0.613		1.98		10.1448
0.632		0		0.210281
0.632		0.02		0.248267
0.632		0.04		0.265472
0.632		0.06		0.325302
0.632		0.08		0.192309
0.632		0.1		0.217154
0.632		0.12		0.23712
0.632		0.14		0.200076
0.632		0.16		0.221312
0.632		0.18		0.150365
0.632		0.2		0.160064
0.632		0.22		0.187485
0.632		0.24		0.134708
0.632		0.26		0.0775932
0.632		0.28		0.0779965
0.632		0.3		0.0606875
0.632		0.32		0.0594855
0.632		0.34		0.00745563
0.632		0.36		-0.0573765
0.632		0.38		-0.0169007
0.632		0.4		-0.0718763
0.632		0.42		-0.0933382
0.632		0.44		-0.142326
0.632		0.46		-0.0871529
0.632		0.48		-0.172275
0.632		0.5		-0.184536
0.632		0.52		-0.225634
0.632		0.54		-0.232414
0.632		0.56		-0.277942
0.632		0.58		-0.298718
0.632		0.6		-0.296782
0.632		0.62		-0.343542
0.632		0.64		-0.371676
0.632		0.66		-0.371872
0.632		0.68		-0.391182
0.632		0.7		-0.407479
0.632		0.72		-0.414359
0.632		0.74		-0.434096
0.632		0.76		-0.42219
0.632		0.78		-0.447988
0.632		0.8		-0.444774
0.632		0.82		-0.437867
0.632		0.84		-0.431313
0.632		0.86		-0.450221
0.632		0.88		-0.417143
0.632		0.9		-0.402056
0.632		0.92		-0.374001
0.632		0.94		-0.342162
0.632		0.96		-0.299874
0.632		0.98		-0.318157
0.632		1		-0.260113
0.632		1.02		-0.2071
0.632		1.04		-0.212152
0.632		1.06		-0.195036
0.632		1.08		-0.163167
0.632		1.1		-0.0206319
0.632		1.12		0.08743
0.632		1.14		0.0647177
0.632		1.16		0.128787
0.632		1.18		0.273167
0.632		1.2		0.348886
0.632		1.22		0.456769
0.632		1.24		0.624832
0.632		1.26		0.698891
0.632		1.28		0.756989
0.632		1.3		0.826816
0.632		1.32		0.96788
0.632		1.34		1.20294
0.632		1.36		1.23803
0.632		1.38		1.2812
0.632		1.4		1.53857
0.632		1.42		1.6295
0.632		1.44		1.91582
0.632		1.46		2.04433
0.632		1.48		2.0888
0.632		1.5		2.43667
0.632		1.52		2.56007
0.632		1.54		2.53912
0.632		1.56		3.36456
0.632		1.58		3.15078
0.632		1.6		3.30813
0.632		1.62		3.76824
0.632		1.64		3.94505
0.632		1.66		4.19136
0.632		1.68		4.67587
0.632		1.7		4.73207
0.632		1.72		4.87066
0.632		1.74		5.82856
0.632		1.76		5.69332
0.632		1.78		6.05135
0.632		1.8		6.34088
0.632		1.82		7.16509
0.632		1.84		7.16329
0.632		1.86		8.21597
0.632		1.88		7.85097
0.632		1.9		8.24124
0.632		1.92		8.98242
0.632		1.94		9.53991
0.632		1.96		10.2068
0.632		1.98		10.1259
0.651		0		0.179572
0.651		0.02		0.253064
0.651		0.04		0.125525
0.651		0.06		0.183494
0.651		0.08		0.231303
0.651		0.1		0.144293
0.651		0.12		0.199926
0.651		0.14		0.119208
0.651		0.16		0.115115
0.651		0.18		0.134635
0.651		0.2		0.0910213
0.651		0.22		0.0829557
0.651		0.24		0.0776285
0.651		0.26		0.0762708
0.651		0.28		-0.0323731
0.651		0.3		0.0174689
0.651		0.32		0.0422536
0.651		0.34		-0.0205
0.651		0.36		-0.102435
0.651		0.38		-0.123077
0.651		0.4		-0.0847006
0.651		0.42		-0.134634
0.651		0.44		-0.120232
0.651		0.46		-0.187669
0.651		0.48		-0.181109
0.651		0.5		-0.215348
0.651		0.52		-0.250983
0.651		0.54		-0.274196
0.651		0.56		-0.272709
0.651		0.58		-0.284766
0.651		0.6		-0.319074
0.651		0.62		-0.334615
0.651		0.64		-0.359144
0.651		0.66		-0.375266
0.651		0.68		-0.385618
0.651		0.7		-0.391532
0.651		0.72		-0.418421
0.651		0.74		-0.419661
0.651		0.76		-0.438139
0.651		0.78		-0.421474
0.651		0.8		-0.437734
0.651		0.82		-0.424792
0.651		0.84		-0.426559
0.651		0.86		-0.43353
0.651		0.88		-0.396732
0.651		0.9		-0.38626
0.651		0.92		-0.364843
0.651		0.94		-0.347843
0.651		0.96		-0.307838
0.651		0.98		-0.298155
0.651		1		-0.268506
0.651		1.02		-0.227935
0.651		1.04		-0.165092
0.651		1.06		-0.0807165
0.651		1.08		-0.0313318
0.651		1.1		-0.0229869
0.651		1.12		0.0733102
0.651		1.14		0.0728317
0.651		1.16		0.168368
0.651		1.18		0.211674
0.651		1.2		0.374591
0.651		1.22		0.396753
0.651		1.24		0.487861
0.651		1.26		0.709392
0.651		1.28		0.778731
0.651		1.3		0.851213
0.651		1.32		0.974482
0.651		1.34		1.11861
0.651		1.36		1.34458
0.651		1.38		1.4916
0.651		1.4		1.65015
0.651		1.42		1.65799
0.651		1.44		1.94732
0.651		1.46		2.00014
0.651		1.48		2.13779
0.651		1.5		2.38997
0.651		1.52		2.77233
0.651		1.54		2.95503
0.651		1.56		3.11058
0.651		1.58		3.30454
0.651		1.6		3.75916
0.651		1.62		3.85585
0.651		1.64		4.19425
0.651		1.66		4.27293
0.651		1.68		4.57176
0.651		1.7		5.21814
0.651		1.72		5.55557
0.651		1.74		5.61937
0.651		1.76		5.75661
0.651		1.78		6.29478
0.651		1.8		6.46573
0.651		1.82		7.60163
0.651		1.84		7.49411
0.651		1.86		7.24142
0.651		1.88		8.55936
0.651		1.9		8.75964
0.651		1.92		9.10659
0.651		1.94		10.0953
0.651		1.96		10.2479
0.651		1.98		10.4869
0.67		0		0.17345
0.67		0.02		0.173089
0.67		0.04		0.152103
0.67		0.06		0.163324
0.67		0.08		0.175993
0.67		0.1		0.127777
0.67		0.12		0.160968
0.67		0.14		0.138224
0.67		0.16		0.127843
0.67		0.18		0.0551489
0.67		0.2		0.0858208
0.67		0.22		0.0631255
0.67		0.24		0.0821938
0.67		0.26		-0.00676012
0.67		0.28		0.0287745
0.67		0.3		-0.00298768
0.67		0.32		-0.00273525
0.67		0.34		-0.016522
0.67		0.36		-0.086565
0.67		0.38		-0.105597
0.67		0.4		-0.117281
0.67		0.42		-0.123998
0.67		0.44		-0.130645
0.67		0.46		-0.216928
0.67		0.48		-0.219993
0.67		0.5		-0.219848
0.67		0.52		-0.225733
0.67		0.54		-0.239969
0.67		0.56		-0.277884
0.67		0.58		-0.312872
0.67		0.6		-0.325555
0.67		0.62		-0.361851
0.67		0.64		-0.358931
0.67		0.66		-0.360668
0.67		0.68		-0.385975
0.67		0.7		-0.404089
0.67		0.72		-0.411767
0.67		0.74		-0.399523
0.67		0.76		-0.422478
0.67		0.78		-0.437356
0.67		0.8		-0.428446
0.67		0.82		-0.41726
0.67		0.84		-0.417961
0.67		0.86		-0.429405
0.67		0.88		-0.405869
0.67		0.9		-0.386343
0.67		0.92		-0.333248
0.67		0.94		-0.312036
0.67		0.96		-0.318949
0.67		0.98		-0.265713
0.67		1		-0.262996
0.67		1.02		-0.215732
0.67		1.04		-0.171049
0.67		1.06		-0.111754
0.67		1.08		-0.0459441
0.67		1.1		-0.0346631
0.67		1.12		0.0877424
0.67		1.14		0.0955459
0.67		1.16		0.211202
0.67		1.18		0.381099
0.67		1.2		0.293333
0.67		1.22		0.535781
0.67		1.24		0.61616
0.67		1.26		0.688178
0.67		1.28		0.812104
0.67		1.3		1.04857
0.67		1.32		1.1701
0.67		1.34		1.19402
0.67		1.36		1.35613
0.67		1.38		1.42055
0.67		1.4		1.49993
0.67		1.42		1.83194
0.67		1.44		1.99362
0.67		1.46		2.15967
0.67		1.48		2.45839
0.67		1.5		2.59991
0.67		1.52		2.75185
0.67		1.54		3.1078
0.67		1.56		3.26921
0.67		1.58		3.66872
0.67		1.6		3.5055
0.67		1.62		4.00548
0.67		1.64		4.22249
0.67		1.66		4.58483
0.67		1.68		4.8719
0.67		1.7		5.47114
0.67		1.72		5.33901
0.67		1.74		5.57663
0.67		1.76		6.03278
0.67		1.78		6.63298
0.67		1.8		6.72961
0.67		1.82		6.7922
0.67		1.84		7.83276
0.67		1.86		8.36036
0.67		1.88		8.64038
0.67		1.9		9.2561
0.67		1.92		9.04045
0.67		1.94		10.4804
0.67		1.96		9.86941
0.67		1.98		10.9774
0.689		0		0.103539
0.689		0.02		0.115777
0.689		0.04		0.134762
0.689		0.06		0.110988
0.689		0.08		0.0890676
0.689		0.1		0.107862
0.689		0.12		0.0955091
0.689		0.14		0.113233
0.689		0.16		0.0466123
0.689		0.18		0.0488609
0.689		0.2		0.0720353
0.689		0.22		0.0886074
0.689		0.24		-0.00414883
0.689		0.26		0.0191297
0.689		0.28		-0.0269918
0.689		0.3		-0.00956914
0.689		0.32		-0.0593382
0.689		0.34		-0.0630727
0.689		0.36		-0.134016
0.689		0.38		-0.115459
0.689		0.4		-0.113515
0.689		0.42		-0.130216
0.689		0.44		-0.168972
0.689		0.46		-0.203204
0.689		0.48		-0.218625
0.689		0.5		-0.203724
0.689		0.52		-0.248132
0.689		0.54		-0.310221
0.689		0.56		-0.273301
0.689		0.58		-0.314225
0.689		0.6		-0.317652
0.689		0.62		-0.364444
0.689		0.64		-0.373348
0.689		0.66		-0.394615
0.689		0.68		-0.331638
0.689		0.7		-0.40054
0.689		0.72		-0.403339
0.689		0.74		-0.380698
0.689		0.76		-0.397021
0.689		0.78		-0.426625
0.689		0.8		-0.409019
0.689		0.82		-0.365401
0.689		0.84		-0.409957
0.689		0.86		-0.36353
0.689		0.88		-0.380267
0.689		0.9		-0.382951
0.689		0.92		-0.354101
0.689		0.94		-0.285106
0.689		0.96		-0.295356
0.689		0.98		-0.227677
0.689		1		-0.244018
0.689		1.02		-0.216774
0.689		1.04		-0.0739353
0.689		1.06		-0.0790899
0.689		1.08		-0.0115593
0.689		1.1		0.0238302
0.689		1.12		0.155404
0.689		1.14		0.277027
0.689		1.16		0.244378
0.689		1.18		0.36721
0.689		1.2		0.361393
0.689		1.22		0.536863
0.689		1.24		0.560837
0.689		1.26		0.72545
0.689		1.28		0.916975
0.689		1.3		1.05009
0.689		1.32		1.19632
0.689		1.34		1.2022
0.689		1.36		1.29474
0.689		1.38		1.5446
0.689		1.4		1.84594
0.689		1.42		1.97481
0.689		1.44		2.18877
0.689		1.46		2.31403
0.689		1.48		2.46766
0.689		1.5		2.59532
0.689		1.52		2.87469
0.689		1.54		3.06599
0.689		1.56		3.14991
0.689		1.58		3.67048
0.689		1.6		3.73976
0.689		1.62		4.0052
0.689		1.64		4.58431
0.689		1.66		4.57829
0.689		1.68		5.46668
0.689		1.7		5.53065
0.689		1.72		5.25089
0.689		1.74		5.99375
0.689		1.76		6.12164
0.689		1.78		6.84998
0.689		1.8		6.98915
0.689		1.82		7.38181
0.689		1.84		7.62803
0.689		1.86		8.75131
0.689		1.88		8.76029
0.689		1.9		9.10769
0.689		1.92		9.48469
0.689		1.94		10.2125
0.689		1.96		10.6322
0.689		1.98		10.8067
0.708		0		0.0454588
0.708		0.02		0.0334972
0.708		0.04		0.0647422
0.708		0.06		0.0989439
0.708		0.08		0.0194911
0.708		0.1		0.0208474
0.708		0.12		0.0347548
0.708		0.14		0.078179
0.708		0.16		-0.0485723
0.708		0.18		0.00350186
0.708		0.2		-0.0156215
0.708		0.22		-0.00734653
0.708		0.24		-0.0307961
0.708		0.26		-0.111695
0.708		0.28		-0.0708035
0.708		0.3		-0.0596008
0.708		0.32		-0.054766
0.708		0.34		-0.0981851
0.708		0.36		-0.137388
0.708		0.38		-0.141013
0.708		0.4		-0.142874
0.708		0.42		-0.178451
0.708		0.44		-0.175554
0.708		0.46		-0.229988
0.708		0.48		-0.252908
0.708		0.5		-0.23241
0.708		0.52		-0.269749
0.708		0.54		-0.301015
0.708		0.56		-0.297244
0.708		0.58		-0.308691
0.708		0.6		-0.335967
0.708		0.62		-0.345073
0.708		0.64		-0.360854
0.708		0.66		-0.366089
0.708		0.68		-0.391525
0.708		0.7		-0.382847
0.708		0.72		-0.374597
0.708		0.74		-0.397201
0.708		0.76		-0.382264
0.708		0.78		-0.409517
0.708		0.8		-0.384579
0.708		0.82		-0.409774
0.708		0.84		-0.393852
0.708		0.86		-0.379925
0.708		0.88		-0.319956
0.708		0.9		-0.326532
0.708		0.92		-0.290856
0.708		0.94		-0.260535
0.708		0.96		-0.231152
0.708		0.98		-0.21685
0.708		1		-0.183358
0.708		1.02		-0.150856
0.708		1.04		-0.0104908
0.708		1.06		-0.0168623
0.708		1.08		-0.0288384
0.708		1.1		0.0619267
0.708		1.12		0.205266
0.708		1.14		0.252902
0.708		1.16		0.348043
0.708		1.18		0.393203
0.708		1.2		0.650906
0.708		1.22		0.649636
0.708		1.24		0.786443
0.708		1.26		0.859825
0.708		1.28		0.848749
0.708		1.3		0.959205
0.708		1.32		1.07343
0.708		1.34		1.26708
0.708		1.36		1.41239
0.708		1.38		1.62536
0.708		1.4		1.89901
0.708		1.42		1.96055
0.708		1.44		2.14809
0.708		1.46		2.23639
0.708		1.48		2.58061
0.708		1.5		2.90986
0.708		1.52		2.86439
0.708		1.54		3.04069
0.708		1.56		3.40156
0.708		1.58		3.7986
0.708		1.6		3.87729
0.708		1.62		4.00577
0.708		1.64		4.68507
0.708		1.66		4.83845
0.708		1.68		5.34606
0.708		1.7		5.69853
0.708		1.72		5.9256
0.708		1.74		6.39402
0.708		1.76		6.36762
0.708		1.78		6.81705
0.708		1.8		7.6152
0.708		1.82		8.1132
0.708		1.84		8.25599
0.708		1.86		8.40933
0.708		1.88		8.72919
0.708		1.9		9.88008
0.708		1.92		9.49361
0.708		1.94		10.4479
0.708		1.96		11.1981
0.708		1.98		11.6206
0.727		0		-0.0134631
0.727		0.02		0.0332326
0.727		0.04		0.0353579
0.727		0.06		-0.0148647
0.727		0.08		-0.00681143
0.727		0.1		-0.0485161
0.727		0.12		0.000896008
0.727		0.14		-0.0170881
0.727		0.16		-0.00232446
0.727		0.18		-0.0510414
0.727		0.2		-0.0026613
0.727		0.22		-0.0593998
0.727		0.24		-0.137887
0.727		0.26		-0.0274867
0.727		0.28		-0.0523384
0.727		0.3		-0.0576975
0.727		0.32		-0.137444
0.727		0.34		-0.103752
0.727		0.36		-0.112813
0.727		0.38		-0.137239
0.727		0.4		-0.168269
0.727		0.42		-0.152961
0.727		0.44		-0.214381
0.727		0.46		-0.224826
0.727		0.48		-0.234024
0.727		0.5		-0.228031
0.727		0.52		-0.255978
0.727		0.54		-0.294894
0.727		0.56		-0.288256
0.727		0.58		-0.325075
0.727		0.6		-0.313595
0.727		0.62		-0.346297
0.727		0.64		-0.373398
0.727		0.66		-0.361178
0.727		0.68		-0.349916
0.727		0.7		-0.382775
0.727		0.72		-0.35107
0.727		0.74		-0.337699
0.727		0.76		-0.374308
0.727		0.78		-0.406333
0.727		0.8		-0.402211
0.727		0.82		-0.370033
0.727		0.84		-0.344859
0.727		0.86		-0.358592
0.727		0.88		-0.340859
0.727		0.9		-0.29411
0.727		0.92		-0.284339
0.727		0.94		-0.273436
0.727		0.96		-0.23014
0.727		0.98		-0.175903
0.727		1		-0.11662
0.727		1.02		-0.113967
0.727		1.04		-0.0755431
0.727		1.06		-0.0500227
0.727		1.08		0.0662338
0.727		1.1		0.0778167
0.727		1.12		0.12812
0.727		1.14		0.22234
0.727		1.16		0.325538
0.727		1.18		0.392324
0.727		1.2		0.596215
0.727		1.22		0.659901
0.727		1.24		0.74979
0.727		1.26		0.902818
0.727		1.28		1.07263
0.727		1.3		1.2317
0.727		1.32		1.27019
0.727		1.34		1.37326
0.727		1.36		1.69535
0.727		1.38		1.85492
0.727		1.4		1.83623
0.727		1.42		2.18947
0.727		1.44		2.38225
0.727		1.46		2.33332
0.727		1.48		2.82867
0.727		1.5		3.21886
0.727		1.52		3.15209
0.727		1.54		3.33136
0.727		1.56		3.54303
0.727		1.58		4.20207
0.727		1.6		4.14272
0.727		1.62		4.2617
0.727		1.64		4.90758
0.727		1.66		4.9001
0.727		1.68		5.39525
0.727		1.7		5.78166
0.727		1.72		5.86531
0.727		1.74		6.36907
0.727		1.76		7.44609
0.727		1.78		7.08595
0.727		1.8		7.11469
0.727		1.82		7.51457
0.727		1.84		8.59038
0.727		1.86		8.9839
0.727		1.88		9.2376
0.727		1.9		9.82904
0.727		1.92		10.526
0.727		1.94		10.9659
0.727		1.96		11.1007
0.727		1.98		11.76
0.746		0		-0.0256
0.746		0.02		0.0176267
0.746		0.04		-0.0194216
0.746		0.06		-0.00143907
0.746		0.08		-0.03021
0.746		0.1		-0.0383146
0.746		0.12		-0.0594961
0.746		0.14		-0.0302263
0.746		0.16		-0.0512765
0.746		0.18		-0.0859198
0.746		0.2		-0.0633734
0.746		0.22		-0.0682148
0.746		0.24		-0.054261
0.746		0.26		-0.078583
0.746		0.28		-0.106812
0.746		0.3		-0.106538
0.746		0.32		-0.171091
0.746		0.34		-0.121731
0.746		0.36		-0.184325
0.746		0.38		-0.168315
0.746		0.4		-0.16284
0.746		0.42		-0.223366
0.746		0.44		-0.223754
0.746		0.46		-0.233686
0.746		0.48		-0.197286
0.746		0.5		-0.201391
0.746		0.52		-0.285657
0.746		0.54		-0.274625
0.746		0.56		-0.306178
0.746		0.58		-0.345327
0.746		0.6		-0.316563
0.746		0.62		-0.343013
0.746		0.64		-0.354643
0.746		0.66		-0.331205
0.746		0.68		-0.348312
0.746		0.7		-0.380469
0.746		0.72		-0.364996
0.746		0.74		-0.383553
0.746		0.76		-0.353833
0.746		0.78		-0.34511
0.746		0.8		-0.369938
0.746		0.82		-0.369402
0.746		0.84		-0.330523
0.746		0.86		-0.336254
0.746		0.88		-0.327371
0.746		0.9		-0.312193
0.746		0.92		-0.254665
0.746		0.94		-0.193704
0.746		0.96		-0.191433
0.746		0.98		-0.195979
0.746		1		-0.10081
0.746		1.02		-0.132443
0.746		1.04		-0.0113156
0.746		1.06		0.0962391
0.746		1.08		0.198773
0.746		1.1		0.147181
0.746		1.12		0.203427
0.746		1.14		0.390368
0.746		1.16		0.392902
0.746		1.18		0.514264
0.746		1.2		0.676308
0.746		1.22		0.714193
0.746		1.24		0.81803
0.746		1.26		0.962195
0.746		1.28		1.1184
0.746		1.3		1.20106
0.746		1.32		1.41657
0.746		1.34		1.46416
0.746		1.36		1.70103
0.746		1.38		1.83056
0.746		1.4		2.22076
0.746		1.42		2.32164
0.746		1.44		2.61574
0.746		1.46		2.68398
0.746		1.48		2.6395
0.746		1.5		3.05963
0.746		1.52		3.34047
0.746		1.54		3.41504
0.746		1.56		4.02725
0.746		1.58		4.22868
0.746		1.6		4.40413
0.746		1.62		4.63994
0.746		1.64		5.05354
0.746		1.66		5.26664
0.746		1.68		5.57812
0.746		1.7		5.70623
0.746		1.72		6.29003
0.746		1.74		6.3713
0.746		1.76		6.9113
0.746		1.78		7.42001
0.746		1.8		7.85611
0.746		1.82		8.41702
0.746		1.84		8.68908
0.746		1.86		8.6012
0.746		1.88		9.49333
0.746		1.9		9.99273
