           1   -0.002488   -0.002488           0
           2   -0.007152    -0.00482    0.002332
           3   -0.000388 -0.00334267  0.00199881
           4   -0.001376   -0.002851  0.00149645
           5   -0.008996    -0.00408   0.0016894
           6    0.005152 -0.00254133  0.00206645
           7   -0.014676 -0.00427486  0.00246074
           8     -0.0027   -0.004078  0.00214014
           9   -0.007192   -0.004424  0.00191888
          10    0.008688  -0.0031128  0.00215984
          11    0.003192 -0.00253964  0.00203599
          12   -0.010324 -0.00318833  0.00196855
          13    0.014176 -0.00185262  0.00225015
          14    0.005188 -0.00134971  0.00214307
          15   -0.000788 -0.00131227  0.00199544
          16    0.012624 -0.00044125  0.00205979
          17    0.003144-0.000230353   0.0019463
          18    0.023084  0.00106489  0.00224607
          19   -0.009796 0.000493263  0.00220012
          20    0.011312   0.0010342  0.00215618
          21    -0.00354 0.000816381  0.00206247
          22   -0.009408 0.000351636  0.00202066
          23      0.0021 0.000427652   0.0019323
          24   -0.003188    0.000277  0.00185616
          25    0.000912   0.0003024  0.00178055
          26   -0.000868 0.000257385  0.00171129
          27    -0.00584 3.15556e-05   0.0016621
          28   -0.000168 2.44286e-05  0.00160166
          29    -0.00522-0.000156414  0.00155598
          30   -0.001784-0.000210667   0.0015042
          31    0.016508 0.000328645  0.00155161
          32    0.006024 0.000506625  0.00151285
          33    0.001116 0.000525091  0.00146641
          34    0.022376  0.00116776  0.00156105
          35   -0.029496 0.000291657  0.00175077
          36     0.00026 0.000290778  0.00170144
          37    0.008288 0.000506919  0.00166888
          38    0.005796 0.000646105  0.00163032
          39   -0.005992 0.000475897  0.00159706
          40    0.017184   0.0008936  0.00161169
          41     0.00434 0.000977659  0.00157413
          42      0.0013 0.000985333  0.00153622
          43   -0.019364 0.000512093  0.00157294
          44    0.004584 0.000604636  0.00153956
          45   -0.011684 0.000331556  0.00152954
          46   -0.012408 5.46087e-05  0.00152134
          47   -0.009012-0.000138298  0.00150106
          48   -0.007592-0.000293583  0.00147764
          49   -0.004984-0.000389306  0.00145033
          50    -0.00544 -0.00049032  0.00142462
          51   -0.006228-0.000602824  0.00140093
          52    -0.00166-0.000623154  0.00137387
          53    -0.00166-0.000642717  0.00134784
          54    0.005456-0.000529778  0.00132746
          55    -0.01462-0.000785964  0.00132805
          56     0.01068-0.000581214  0.00132009
          57   -0.023004-0.000974596  0.00135508
          58    0.005176-0.000868552  0.00133573
          59    0.004936-0.000770169  0.00131658
          60    0.000904-0.000742267  0.00129475
          61     0.01194-0.000534361  0.00129021
          62    0.004668-0.000450452    0.001272
          63     -0.0064-0.000544889   0.0012552
          64    0.007232-0.000423375  0.00124139
          65    0.012164-0.000229723  0.00123739
          66    0.009516-8.20606e-05  0.00122742
          67      -0.002-0.000110687   0.0012093
          68   -0.021424-0.000424118  0.00123192
          69     0.00298-0.000374783  0.00121494
          70   -0.001372-0.000389029  0.00119754
          71    0.000748-0.000373014  0.00118066
          72   -0.006992-0.000464944  0.00116777
          73    0.000716-0.000448767  0.00115178
          74    0.015124-0.000238324  0.00115543
          75    -0.00064 -0.00024368  0.00113993
          76    0.003036-0.000200526  0.00112566
          77    0.006104-0.000118649  0.00111396
          78     0.01334 5.38974e-05  0.00111304
          79    0.014628  0.00023838  0.00111424
          80   -0.017548   1.605e-05  0.00112246
          81   -0.006752-6.75062e-05  0.00111166
          82    0.010828 6.53659e-05  0.00110603
          83   -0.005364-4.81928e-08  0.00109458
          84   -0.009188-0.000109429  0.00108699
          85   -0.032928-0.000495529  0.00114141
          86     0.01626-0.000300698  0.00114476
          87    0.021264-5.28276e-05  0.00115836
          88    0.008568 4.51364e-05   0.0011493
          89    0.017124 0.000237034  0.00115241
          90    0.017044 0.000423778  0.00115473
          91    0.012164 0.000552791  0.00114923
          92    0.005828  0.00061013  0.00113812
          93    0.006024 0.000668344  0.00112732
          94     0.01346 0.000804426  0.00112353
          95     0.01102 0.000911958  0.00111683
          96    0.004144 0.000945625  0.00110565
          97    0.019844  0.00114045   0.0011114
          98   -0.004988  0.00107792  0.00110178
          99   -0.024856  0.00081596  0.00112161
         100    0.010444  0.00091224  0.00111451
