           1   -0.000324   -0.000324           0
           2   -0.012056    -0.00619    0.005866
           3    0.005496 -0.00229467  0.00516174
           4   -0.009784   -0.004167  0.00410213
           5   -0.002904  -0.0039144  0.00318752
           6   -0.003048    -0.00377   0.0026066
           7   -0.012888 -0.00507257  0.00255926
           8   -0.002372   -0.004735  0.00224194
           9    -0.00016 -0.00422667  0.00204151
          10   -0.002544  -0.0040584  0.00183372
          11   -0.003764 -0.00403164  0.00165888
          12   -0.003644 -0.00399933  0.00151468
          13     0.00338 -0.00343169   0.0015045
          14    0.006932 -0.00269143  0.00157739
          15    0.001248  -0.0024288  0.00149177
          16     0.00288   -0.002097  0.00143433
          17    0.003084 -0.00179224  0.00138135
          18    0.001584 -0.00160467  0.00131579
          19    0.004152 -0.00130168  0.00128096
          20   -0.003076  -0.0013904  0.00121846
          21   -0.000664 -0.00135581   0.0011595
          22   -0.003636 -0.00145945  0.00111039
          23    0.000232 -0.00138591  0.00106356
          24    0.002428   -0.001227  0.00103061
          25   -0.008524 -0.00151888  0.00103071
          26    -0.00264   -0.001562 0.000991217
          27    0.003184 -0.00138622 0.000969861
          28    0.004536 -0.00117471 0.000958216
          29   -0.003252 -0.00124634 0.000927354
          30     -0.0004 -0.00121813 0.000896353
          31     0.00416 -0.00104465 0.000884145
          32   -0.008444 -0.00127587 0.000886748
          33   -0.002332 -0.00130788 0.000860053
          34   -0.008204 -0.00151071 0.000858672
          35   -0.005756   -0.001632 0.000842554
          36    0.001476 -0.00154567 0.000823355
          37   -0.003136 -0.00158865 0.000801945
          38    0.007352 -0.00135337 0.000815245
          39    0.011224 -0.00103087 0.000857056
          40   -0.000408  -0.0010153   0.0008355
          41   -0.012052 -0.00128449 0.000858179
          42      0.0095 -0.00102771 0.000875976
          43     -0.0059 -0.00114102 0.000862834
          44    0.009732-0.000893909 0.000878469
          45   -0.000816-0.000892178 0.000858727
          46    -0.00744 -0.00103452 0.000851829
          47    0.002792-0.000953106 0.000837475
          48    0.012692-0.000668833 0.000867728
          49   -0.007188-0.000801878 0.000860186
          50    0.006868 -0.00064848 0.000856653
          51    0.001392-0.000608471  0.00084064
          52   -0.010876-0.000805923 0.000847634
          53   -0.000212-0.000794717 0.000831563
          54     -0.0107-0.000978148 0.000836381
          55    0.007228-0.000828945  0.00083448
          56     0.00528-0.000719857 0.000826672
          57   -0.002768-0.000755789 0.000812834
          58   -0.001848-0.000774621 0.000798919
          59    0.004528-0.000684746 0.000790388
          60     -0.0028    -0.00072 0.000777902
          61   -0.001684-0.000735803 0.000765207
          62   -0.002192 -0.00075929  0.00075313
          63   -0.005136-0.000828762 0.000744328
          64   -0.006704-0.000920562 0.000738335
          65   -0.002908-0.000951138  0.00072753
          66   -0.000452-0.000943576 0.000716462
          67    0.005044-0.000854209 0.000711323
          68   -0.003952-0.000899765 0.000702264
          69    0.002408-0.000851826  0.00069367
          70   -0.000168-0.000842057 0.000683758
          71    0.016004-0.000604789 0.000714599
          72   -0.010044-0.000735889 0.000716697
          73     0.00218-0.000695945 0.000707939
          74   -0.007628-0.000789622 0.000704562
          75   -0.001532 -0.00079952 0.000695174
          76    0.007312-0.000692789  0.00069422
          77    0.000616-0.000675792 0.000685356
          78   -0.003952-0.000717795 0.000677815
          79    0.007576 -0.00061281 0.000677365
          80    0.009376 -0.00048795 0.000680399
          81    0.004728-0.000423556 0.000675025
          82   -0.013556-0.000583707 0.000685707
          83    -0.00302 -0.00061306  0.00067803
          84    0.005968-0.000534714 0.000674476
          85    -0.00526-0.000590306 0.000668808
          86   -0.001948-0.000606093 0.000661174
          87     0.00334-0.000560736 0.000655102
          88    0.000524-0.000548409 0.000647732
          89    0.012712-0.000399416 0.000657516
          90    0.011256-0.000269911 0.000662942
          91    0.001576-0.000249626  0.00065593
          92   -0.007596-0.000329478 0.000653657
          93   -0.000988-0.000336559 0.000646629
          94     0.00272-0.000304043 0.000640539
          95    0.000516-0.000295411 0.000633819
          96    -0.00296-0.000323167 0.000627796
          97    0.002088-0.000298309 0.000621787
          98    0.002516-0.000269592  0.00061608
          99   -0.012796-0.000396121 0.000622813
         100   -0.000148 -0.00039364 0.000616558
