           1    -0.00102    -0.00102           0
           2     0.00136     0.00017     0.00119
           3    -0.00674 -0.00213333  0.00240362
           4    0.001344   -0.001264  0.00190904
           5    0.001088  -0.0007936  0.00155175
           6    0.006124 0.000359333  0.00171305
           7   -0.001188 0.000138286  0.00146457
           8   -0.002848   -0.000235  0.00132214
           9   -0.002556-0.000492889   0.0011942
          10    0.002208  -0.0002228  0.00110174
          11    0.004588 0.000214545  0.00108831
          12   -0.004792-0.000202667  0.00107753
          13    0.003028 4.58462e-05  0.00102186
          14    0.000828 0.000101714 0.000947711
          15      0.0048 0.000414933  0.00093622
          16    0.001628  0.00049075  0.00087903
          17    0.001768 0.000565882 0.000829116
          18    0.005496 0.000839778 0.000828293
          19   -0.005728 0.000494105 0.000856354
          20   -0.002448    0.000347 0.000825619
          21    0.004584 0.000548762 0.000810825
          22   -0.005884 0.000256364 0.000826539
          23   -0.001772 0.000168174 0.000794694
          24    0.001088   0.0002065 0.000761826
          25   -0.000664  0.00017168 0.000731547
          26      0.0024 0.000257385 0.000708054
          27   -0.000676 0.000222815 0.000682201
          28   -0.001772 0.000151571 0.000661235
          29   -0.008384-0.000142759 0.000702643
          30    0.003044-3.65333e-05 0.000687079
          31    0.008116 0.000226452  0.00071469
          32   -0.004412    8.15e-05 0.000707014
          33    0.000156 8.37576e-05 0.000685259
          34    0.008968 0.000345059 0.000714308
          35   -0.010872 2.45714e-05 0.000764062
          36    0.004332 0.000144222 0.000752113
          37   -0.001572 9.78378e-05 0.000732973
          38    0.005232 0.000232947 0.000726104
          39   -0.006668     5.6e-05 0.000729041
          40     0.00148    9.16e-05 0.000711472
          41   -0.004124-1.12195e-05 0.000701479
          42      0.0007 5.71429e-06 0.000684783
          43   -0.006732-0.000150977 0.000686781
          44    0.002904-8.15455e-05 0.000674574
          45   -0.001888-0.000121689 0.000660634
          46    -0.00412-0.000208609 0.000651933
          47   -0.000928-0.000223915 0.000638095
          48   -0.001472-0.000249917 0.000625201
          49   -0.001696-0.000279429 0.000613019
          50   -0.003888  -0.0003516 0.000604954
          51     3.2e-05-0.000344078 0.000593021
          52    0.003388-0.000272308 0.000585918
          53    0.004924-0.000174264 0.000583059
          54   -0.004412-0.000252741 0.000577516
          55    0.001768   -0.000216 0.000568108
          56    0.004112-0.000138714 0.000563199
          57   -0.005436-0.000231649 0.000560982
          58    -0.00132-0.000250414 0.000551544
          59    0.003832 -0.00018122 0.000546513
          60   -0.001196-0.000198133 0.000537593
          61    0.001472-0.000170754 0.000529415
          62    0.002464-0.000128258 0.000522537
          63   -0.001064-0.000143111 0.000514391
          64   -0.001872-0.000170125  0.00050701
          65     0.00238-0.000130892 0.000500688
          66    0.002504-9.09697e-05 0.000494657
          67   -0.006656-0.000188955 0.000496974
          68   -0.000804   -0.000198 0.000489694
          69     0.00468-0.000127304 0.000487696
          70    0.004576-6.01143e-05 0.000485352
          71   -0.002804-9.87606e-05 0.000480025
          72    -0.00796-0.000207944 0.000485742
          73     0.00728 -0.00010537   0.0004899
          74    -4.8e-05-0.000104595 0.000483235
          75   -0.003144 -0.00014512 0.000478468
          76    0.000568-0.000135737 0.000472223
          77   -0.001176-0.000149247 0.000466246
          78    0.000704-0.000138308  0.00046036
          79    0.003836    -8.8e-05 0.000457271
          80   -0.004996 -0.00014935 0.000455668
          81    0.000308-0.000143704 0.000450042
          82      0.0023-0.000113902 0.000445518
          83    0.001248 -9.7494e-05 0.000440423
          84   -0.000764-0.000105429 0.000435221
          85   -0.007556-0.000193082 0.000438912
          86    0.008668-9.00465e-05 0.000445847
          87   -0.000192-9.12184e-05 0.000440694
          88    0.004228-4.21364e-05 0.000438414
          89    0.008688 5.59551e-05  0.00044442
          90    0.000324 5.89333e-05 0.000439465
          91     0.00686  0.00013367 0.000440988
          92    0.001668 0.000150348 0.000436487
          93    0.001728 0.000167312 0.000432101
          94    0.001772 0.000184383  0.00042782
          95    0.007716 0.000263663 0.000430653
          96   -0.003188 0.000227708 0.000427658
          97    0.000716 0.000232742 0.000423256
          98   -0.000184  0.00022849 0.000418936
          99   -0.005352 0.000172121 0.000418497
         100    -0.00302   0.0001402 0.000415518
