           1     0.26122     0.26122           0
           2    0.294662    0.277941    0.016721
           3     0.24232    0.266067   0.0153029
           4    0.369857    0.292015   0.0281132
           5    0.381019    0.309816   0.0281262
           6    0.202416    0.291916    0.029117
           7    0.171335     0.27469   0.0300383
           8    0.253295    0.272016    0.026151
           9    0.265267    0.271266   0.0230752
          10    0.197879    0.263927    0.021905
          11      0.2237     0.26027   0.0201485
          12    0.212255    0.256269   0.0188231
          13    0.240485    0.255055   0.0173573
          14    0.259682    0.255385   0.0160731
          15    0.272192    0.256506   0.0150051
          16    0.290505    0.258631    0.014196
          17    0.417911       0.268   0.0162973
          18    0.259322    0.267518   0.0153728
          19    0.359203    0.272343    0.015321
          20    0.250073     0.27123   0.0145774
          21    0.348367    0.274903   0.0143441
          22    0.239113    0.273276    0.013773
          23    0.250204    0.272273   0.0131987
          24     0.20317    0.269394   0.0129607
          25    0.199544      0.2666   0.0127416
          26    0.236223    0.265432   0.0122973
          27    0.205269    0.263203   0.0120411
          28    0.377524    0.267286   0.0123005
          29    0.225511    0.265846   0.0119558
          30    0.276254    0.266193   0.0115556
          31    0.141996    0.262186    0.011873
          32    0.257953    0.262054   0.0114968
          33    0.262073    0.262055   0.0111429
          34     0.24837    0.261652   0.0108177
          35    0.241044    0.261063   0.0105206
          36    0.137451     0.25763   0.0107854
          37    0.213546    0.256438   0.0105573
          38    0.302808    0.257658   0.0103479
          39     0.19311    0.256003    0.010214
          40    0.358069    0.258555   0.0102772
          41    0.309138    0.259789   0.0100991
          42    0.249611    0.259546  0.00985865
          43    0.199805    0.258157  0.00972639
          44    0.155943    0.255834  0.00978259
          45    0.124467    0.252915   0.0099984
          46    0.183806    0.251412  0.00989336
          47    0.131378    0.248858   0.0100118
          48    0.293854    0.249796  0.00984572
          49    0.233767    0.249469  0.00964824
          50    0.202557     0.24853  0.00949975
          51    0.307056    0.249678  0.00938207
          52    0.300054    0.250647  0.00925074
          53    0.273886    0.251085  0.00908511
          54    0.332279    0.252589  0.00904118
          55    0.266293    0.252838  0.00887877
          56    0.268405    0.253116  0.00872321
          57    0.324406    0.254367   0.0086596
          58    0.339429    0.255833  0.00863445
          59    0.238727    0.255543  0.00849179
          60     0.35636    0.257224  0.00851646
          61    0.385961    0.259334  0.00863749
          62    0.372394    0.261158   0.0086905
          63    0.296347    0.261716  0.00856967
          64    0.227898    0.261188  0.00845124
          65    0.266934    0.261276  0.00832067
          66    0.268872    0.261391  0.00819444
          67    0.207981    0.260594  0.00811048
          68    0.171027    0.259277  0.00809816
          69    0.219606    0.258702  0.00800061
          70    0.384401    0.260498  0.00808737
          71    0.256257    0.260438  0.00797287
          72    0.229089    0.260003  0.00787341
          73    0.299356    0.260542  0.00778349
          74     0.15046    0.259054  0.00782038
          75    0.209606    0.258395  0.00774352
          76    0.283781    0.258729  0.00764825
          77    0.223732    0.258274  0.00756194
          78    0.258433    0.258276  0.00746436
          79    0.229735    0.257915  0.00737812
          80    0.211586    0.257336  0.00730829
          81    0.232983    0.257035  0.00722376
          82    0.291044     0.25745  0.00714717
          83    0.209453    0.256872  0.00708417
          84    0.233015    0.256588  0.00700509
          85    0.252527     0.25654  0.00692235
          86    0.211719    0.256019  0.00686121
          87    0.305385    0.256586  0.00680558
          88    0.222245    0.256196  0.00673911
          89    0.267196     0.25632   0.0066641
          90    0.262747    0.256391  0.00659003
          91    0.265334    0.256489  0.00651795
          92    0.149689    0.255328   0.0065504
          93    0.173391    0.254447  0.00653921
          94    0.255667     0.25446  0.00646928
          95    0.350163    0.255468  0.00647961
          96    0.229119    0.255193  0.00641763
          97    0.229985    0.254933  0.00635644
          98    0.334855    0.255749  0.00634388
          99    0.442912    0.257639  0.00655789
         100    0.282413    0.257887  0.00649671
